,index,minsupp_new,induction_measure,pruning_measure,voting_measure,max_growing,complementary_condition
0,0,3,Measures.C2,Measures.C2,Measures.C2,0,0
1,1,3,Measures.C2,Measures.C2,Measures.C2,0,1
2,2,3,Measures.C2,Measures.C2,Measures.C2,1,0
3,3,3,Measures.C2,Measures.C2,Measures.C2,1,1
4,4,3,Measures.C2,Measures.C2,Measures.C2,2,0
5,5,3,Measures.C2,Measures.C2,Measures.C2,2,1
6,6,3,Measures.C2,Measures.C2,Measures.C2,3,0
7,7,3,Measures.C2,Measures.C2,Measures.C2,3,1
8,8,3,Measures.C2,Measures.C2,Measures.C2,4,0
9,9,3,Measures.C2,Measures.C2,Measures.C2,4,1
10,10,3,Measures.C2,Measures.C2,Measures.C2,5,0
11,11,3,Measures.C2,Measures.C2,Measures.C2,5,1
12,12,3,Measures.C2,Measures.C2,Measures.RSS,0,0
13,13,3,Measures.C2,Measures.C2,Measures.RSS,0,1
14,14,3,Measures.C2,Measures.C2,Measures.RSS,1,0
15,15,3,Measures.C2,Measures.C2,Measures.RSS,1,1
16,16,3,Measures.C2,Measures.C2,Measures.RSS,2,0
17,17,3,Measures.C2,Measures.C2,Measures.RSS,2,1
18,18,3,Measures.C2,Measures.C2,Measures.RSS,3,0
19,19,3,Measures.C2,Measures.C2,Measures.RSS,3,1
20,20,3,Measures.C2,Measures.C2,Measures.RSS,4,0
21,21,3,Measures.C2,Measures.C2,Measures.RSS,4,1
22,22,3,Measures.C2,Measures.C2,Measures.RSS,5,0
23,23,3,Measures.C2,Measures.C2,Measures.RSS,5,1
24,24,3,Measures.C2,Measures.C2,Measures.Correlation,0,0
25,25,3,Measures.C2,Measures.C2,Measures.Correlation,0,1
26,26,3,Measures.C2,Measures.C2,Measures.Correlation,1,0
27,27,3,Measures.C2,Measures.C2,Measures.Correlation,1,1
28,28,3,Measures.C2,Measures.C2,Measures.Correlation,2,0
29,29,3,Measures.C2,Measures.C2,Measures.Correlation,2,1
30,30,3,Measures.C2,Measures.C2,Measures.Correlation,3,0
31,31,3,Measures.C2,Measures.C2,Measures.Correlation,3,1
32,32,3,Measures.C2,Measures.C2,Measures.Correlation,4,0
33,33,3,Measures.C2,Measures.C2,Measures.Correlation,4,1
34,34,3,Measures.C2,Measures.C2,Measures.Correlation,5,0
35,35,3,Measures.C2,Measures.C2,Measures.Correlation,5,1
36,36,3,Measures.C2,Measures.RSS,Measures.C2,0,0
37,37,3,Measures.C2,Measures.RSS,Measures.C2,0,1
38,38,3,Measures.C2,Measures.RSS,Measures.C2,1,0
39,39,3,Measures.C2,Measures.RSS,Measures.C2,1,1
40,40,3,Measures.C2,Measures.RSS,Measures.C2,2,0
41,41,3,Measures.C2,Measures.RSS,Measures.C2,2,1
42,42,3,Measures.C2,Measures.RSS,Measures.C2,3,0
43,43,3,Measures.C2,Measures.RSS,Measures.C2,3,1
44,44,3,Measures.C2,Measures.RSS,Measures.C2,4,0
45,45,3,Measures.C2,Measures.RSS,Measures.C2,4,1
46,46,3,Measures.C2,Measures.RSS,Measures.C2,5,0
47,47,3,Measures.C2,Measures.RSS,Measures.C2,5,1
48,48,3,Measures.C2,Measures.RSS,Measures.RSS,0,0
49,49,3,Measures.C2,Measures.RSS,Measures.RSS,0,1
50,50,3,Measures.C2,Measures.RSS,Measures.RSS,1,0
51,51,3,Measures.C2,Measures.RSS,Measures.RSS,1,1
52,52,3,Measures.C2,Measures.RSS,Measures.RSS,2,0
53,53,3,Measures.C2,Measures.RSS,Measures.RSS,2,1
54,54,3,Measures.C2,Measures.RSS,Measures.RSS,3,0
55,55,3,Measures.C2,Measures.RSS,Measures.RSS,3,1
56,56,3,Measures.C2,Measures.RSS,Measures.RSS,4,0
57,57,3,Measures.C2,Measures.RSS,Measures.RSS,4,1
58,58,3,Measures.C2,Measures.RSS,Measures.RSS,5,0
59,59,3,Measures.C2,Measures.RSS,Measures.RSS,5,1
60,60,3,Measures.C2,Measures.RSS,Measures.Correlation,0,0
61,61,3,Measures.C2,Measures.RSS,Measures.Correlation,0,1
62,62,3,Measures.C2,Measures.RSS,Measures.Correlation,1,0
63,63,3,Measures.C2,Measures.RSS,Measures.Correlation,1,1
64,64,3,Measures.C2,Measures.RSS,Measures.Correlation,2,0
65,65,3,Measures.C2,Measures.RSS,Measures.Correlation,2,1
66,66,3,Measures.C2,Measures.RSS,Measures.Correlation,3,0
67,67,3,Measures.C2,Measures.RSS,Measures.Correlation,3,1
68,68,3,Measures.C2,Measures.RSS,Measures.Correlation,4,0
69,69,3,Measures.C2,Measures.RSS,Measures.Correlation,4,1
70,70,3,Measures.C2,Measures.RSS,Measures.Correlation,5,0
71,71,3,Measures.C2,Measures.RSS,Measures.Correlation,5,1
72,72,3,Measures.C2,Measures.Correlation,Measures.C2,0,0
73,73,3,Measures.C2,Measures.Correlation,Measures.C2,0,1
74,74,3,Measures.C2,Measures.Correlation,Measures.C2,1,0
75,75,3,Measures.C2,Measures.Correlation,Measures.C2,1,1
76,76,3,Measures.C2,Measures.Correlation,Measures.C2,2,0
77,77,3,Measures.C2,Measures.Correlation,Measures.C2,2,1
78,78,3,Measures.C2,Measures.Correlation,Measures.C2,3,0
79,79,3,Measures.C2,Measures.Correlation,Measures.C2,3,1
80,80,3,Measures.C2,Measures.Correlation,Measures.C2,4,0
81,81,3,Measures.C2,Measures.Correlation,Measures.C2,4,1
82,82,3,Measures.C2,Measures.Correlation,Measures.C2,5,0
83,83,3,Measures.C2,Measures.Correlation,Measures.C2,5,1
84,84,3,Measures.C2,Measures.Correlation,Measures.RSS,0,0
85,85,3,Measures.C2,Measures.Correlation,Measures.RSS,0,1
86,86,3,Measures.C2,Measures.Correlation,Measures.RSS,1,0
87,87,3,Measures.C2,Measures.Correlation,Measures.RSS,1,1
88,88,3,Measures.C2,Measures.Correlation,Measures.RSS,2,0
89,89,3,Measures.C2,Measures.Correlation,Measures.RSS,2,1
90,90,3,Measures.C2,Measures.Correlation,Measures.RSS,3,0
91,91,3,Measures.C2,Measures.Correlation,Measures.RSS,3,1
92,92,3,Measures.C2,Measures.Correlation,Measures.RSS,4,0
93,93,3,Measures.C2,Measures.Correlation,Measures.RSS,4,1
94,94,3,Measures.C2,Measures.Correlation,Measures.RSS,5,0
95,95,3,Measures.C2,Measures.Correlation,Measures.RSS,5,1
96,96,3,Measures.C2,Measures.Correlation,Measures.Correlation,0,0
97,97,3,Measures.C2,Measures.Correlation,Measures.Correlation,0,1
98,98,3,Measures.C2,Measures.Correlation,Measures.Correlation,1,0
99,99,3,Measures.C2,Measures.Correlation,Measures.Correlation,1,1
100,100,3,Measures.C2,Measures.Correlation,Measures.Correlation,2,0
101,101,3,Measures.C2,Measures.Correlation,Measures.Correlation,2,1
102,102,3,Measures.C2,Measures.Correlation,Measures.Correlation,3,0
103,103,3,Measures.C2,Measures.Correlation,Measures.Correlation,3,1
104,104,3,Measures.C2,Measures.Correlation,Measures.Correlation,4,0
105,105,3,Measures.C2,Measures.Correlation,Measures.Correlation,4,1
106,106,3,Measures.C2,Measures.Correlation,Measures.Correlation,5,0
107,107,3,Measures.C2,Measures.Correlation,Measures.Correlation,5,1
108,108,3,Measures.RSS,Measures.C2,Measures.C2,0,0
109,109,3,Measures.RSS,Measures.C2,Measures.C2,0,1
110,110,3,Measures.RSS,Measures.C2,Measures.C2,1,0
111,111,3,Measures.RSS,Measures.C2,Measures.C2,1,1
112,112,3,Measures.RSS,Measures.C2,Measures.C2,2,0
113,113,3,Measures.RSS,Measures.C2,Measures.C2,2,1
114,114,3,Measures.RSS,Measures.C2,Measures.C2,3,0
115,115,3,Measures.RSS,Measures.C2,Measures.C2,3,1
116,116,3,Measures.RSS,Measures.C2,Measures.C2,4,0
117,117,3,Measures.RSS,Measures.C2,Measures.C2,4,1
118,118,3,Measures.RSS,Measures.C2,Measures.C2,5,0
119,119,3,Measures.RSS,Measures.C2,Measures.C2,5,1
120,120,3,Measures.RSS,Measures.C2,Measures.RSS,0,0
121,121,3,Measures.RSS,Measures.C2,Measures.RSS,0,1
122,122,3,Measures.RSS,Measures.C2,Measures.RSS,1,0
123,123,3,Measures.RSS,Measures.C2,Measures.RSS,1,1
124,124,3,Measures.RSS,Measures.C2,Measures.RSS,2,0
125,125,3,Measures.RSS,Measures.C2,Measures.RSS,2,1
126,126,3,Measures.RSS,Measures.C2,Measures.RSS,3,0
127,127,3,Measures.RSS,Measures.C2,Measures.RSS,3,1
128,128,3,Measures.RSS,Measures.C2,Measures.RSS,4,0
129,129,3,Measures.RSS,Measures.C2,Measures.RSS,4,1
130,130,3,Measures.RSS,Measures.C2,Measures.RSS,5,0
131,131,3,Measures.RSS,Measures.C2,Measures.RSS,5,1
132,132,3,Measures.RSS,Measures.C2,Measures.Correlation,0,0
133,133,3,Measures.RSS,Measures.C2,Measures.Correlation,0,1
134,134,3,Measures.RSS,Measures.C2,Measures.Correlation,1,0
135,135,3,Measures.RSS,Measures.C2,Measures.Correlation,1,1
136,136,3,Measures.RSS,Measures.C2,Measures.Correlation,2,0
137,137,3,Measures.RSS,Measures.C2,Measures.Correlation,2,1
138,138,3,Measures.RSS,Measures.C2,Measures.Correlation,3,0
139,139,3,Measures.RSS,Measures.C2,Measures.Correlation,3,1
140,140,3,Measures.RSS,Measures.C2,Measures.Correlation,4,0
141,141,3,Measures.RSS,Measures.C2,Measures.Correlation,4,1
142,142,3,Measures.RSS,Measures.C2,Measures.Correlation,5,0
143,143,3,Measures.RSS,Measures.C2,Measures.Correlation,5,1
144,144,3,Measures.RSS,Measures.RSS,Measures.C2,0,0
145,145,3,Measures.RSS,Measures.RSS,Measures.C2,0,1
146,146,3,Measures.RSS,Measures.RSS,Measures.C2,1,0
147,147,3,Measures.RSS,Measures.RSS,Measures.C2,1,1
148,148,3,Measures.RSS,Measures.RSS,Measures.C2,2,0
149,149,3,Measures.RSS,Measures.RSS,Measures.C2,2,1
150,150,3,Measures.RSS,Measures.RSS,Measures.C2,3,0
151,151,3,Measures.RSS,Measures.RSS,Measures.C2,3,1
152,152,3,Measures.RSS,Measures.RSS,Measures.C2,4,0
153,153,3,Measures.RSS,Measures.RSS,Measures.C2,4,1
154,154,3,Measures.RSS,Measures.RSS,Measures.C2,5,0
155,155,3,Measures.RSS,Measures.RSS,Measures.C2,5,1
156,156,3,Measures.RSS,Measures.RSS,Measures.RSS,0,0
157,157,3,Measures.RSS,Measures.RSS,Measures.RSS,0,1
158,158,3,Measures.RSS,Measures.RSS,Measures.RSS,1,0
159,159,3,Measures.RSS,Measures.RSS,Measures.RSS,1,1
160,160,3,Measures.RSS,Measures.RSS,Measures.RSS,2,0
161,161,3,Measures.RSS,Measures.RSS,Measures.RSS,2,1
162,162,3,Measures.RSS,Measures.RSS,Measures.RSS,3,0
163,163,3,Measures.RSS,Measures.RSS,Measures.RSS,3,1
164,164,3,Measures.RSS,Measures.RSS,Measures.RSS,4,0
